price,beds,baths,prop_type,address,link
1850,0,0,Studio,"Node Dublin 7, Phibsborough, D07 V10E, Dublin 7",https://www.daft.ie/for-rent/studio-apartment-cozy-studio-bills-included-node-dublin-7-phibsborough-d07-v10e-dublin-7/5697464
1875,0,0,Studio,"Node Dublin 7, Phibsborough, D07 V10E, Dublin 7",https://www.daft.ie/for-rent/studio-apartment-comfy-studio-bills-included-node-dublin-7-phibsborough-d07-v10e-dublin-7/5697468
1925,0,0,Studio,"Node Dublin 7, Phibsborough, D07 V10E, Dublin 7",https://www.daft.ie/for-rent/studio-apartment-roomy-studio-bills-included-node-dublin-7-phibsborough-d07-v10e-dublin-7/5697466
2100,0,0,Studio,"Griffith Wood, Griffith Avenue, Drumcondra, Dublin 9",https://www.daft.ie/for-rent/studio-apartment-studio-griffith-wood-griffith-wood-griffith-avenue-drumcondra-dublin-9/5720457
2900,2,2,Apartment,"Griffith Wood, Griffith Avenue, Drumcondra, Dublin 9",https://www.daft.ie/for-rent/apartment-2-bedroom-griffith-wood-griffith-wood-griffith-avenue-drumcondra-dublin-9/3523582
4078,3,3,Apartment,"Griffith Wood, Griffith Avenue, Drumcondra, Dublin 9",https://www.daft.ie/for-rent/apartment-3-bedroom-griffith-wood-griffith-wood-griffith-avenue-drumcondra-dublin-9/3523581
2549,1,1,Apartment,"O'Callaghan Court , Erne Street Upper , Dublin 2",https://www.daft.ie/for-rent/apartment-1-bedroom-apartment-ocallaghan-court-erne-street-upper-dublin-2/2929971
2175,1,1,Apartment,"Occu Owenmore, Station Road, Raheny, Dublin 5",https://www.daft.ie/for-rent/apartment-1-bedroom-apartment-occu-owenmore-station-road-raheny-dublin-5/6116517
2550,2,2,Apartment,"Occu Owenmore, Station Road, Raheny, Dublin 5",https://www.daft.ie/for-rent/apartment-two-bed-apartment-occu-owenmore-station-road-raheny-dublin-5/6116518
2000,1,1,Apartment,"O'Neill Court , Main Street, Belmayne, Dublin 13",https://www.daft.ie/for-rent/apartment-1-bed-oneill-court-main-street-belmayne-dublin-13/5987932
2450,2,2,Apartment,"O'Neill Court , Main Street, Belmayne, Dublin 13",https://www.daft.ie/for-rent/apartment-2-bed-oneill-court-main-street-belmayne-dublin-13/5987931
3000,3,2,Apartment,"O'Neill Court , Main Street, Belmayne, Dublin 13",https://www.daft.ie/for-rent/apartment-3-bed-oneill-court-main-street-belmayne-dublin-13/5987935
1990,0,0,Studio,"Niche Living, Serviced Studio Apartments, Ardee Road, Rathmines, Dublin 6",https://www.daft.ie/for-rent/studio-apartment-serviced-studio-apartments-niche-living-serviced-studio-apartments-ardee-road-rathmines-dublin-6/5705486
2295,1,1,Apartment,"Newmarket Yards, Dublin City Centre, Dublin 8",https://www.daft.ie/for-rent/apartment-newmarket-yards-1-bed-newmarket-yards-dublin-city-centre-dublin-8/5527308
2500,1,1,Apartment,"Newmarket Yards, Dublin City Centre, Dublin 8",https://www.daft.ie/for-rent/apartment-newmarket-yards-1-bed-type-a-newmarket-yards-dublin-city-centre-dublin-8/5542051
1990,0,0,Studio,"Niche Living, Serviced Studio Apartments,  Eblana Avenue, Dun Laoghaire, Co. Dublin",https://www.daft.ie/for-rent/studio-apartment-studio-niche-living-serviced-studio-apartments-eblana-avenue-dun-laoghaire-co-dublin/4549770
2350,0,0,Studio,"Marshall Yards, East Road, Dublin 3",https://www.daft.ie/for-rent/studio-apartment-studio-apartment-marshall-yards-east-road-dublin-3/6141917
2500,1,1,Apartment,"Marshall Yards, East Road, Dublin 3",https://www.daft.ie/for-rent/apartment-1-bedroom-apartment-marshall-yards-east-road-dublin-3/6141962
3400,2,2,Apartment,"Marshall Yards, East Road, Dublin 3",https://www.daft.ie/for-rent/apartment-2-bedroom-apartment-marshall-yards-east-road-dublin-3/6141979
2650,1,1,Apartment,"Eglinton Place , Eglinton Road, Dublin 4",https://www.daft.ie/for-rent/apartment-1-bed-apartment-eglinton-place-eglinton-road-dublin-4/5811432
3550,2,2,Apartment,"Eglinton Place , Eglinton Road, Dublin 4",https://www.daft.ie/for-rent/apartment-2-bed-apartment-eglinton-place-eglinton-road-dublin-4/5811438
4100,2,2,Apartment,"Eglinton Place , Eglinton Road, Dublin 4",https://www.daft.ie/for-rent/apartment-2-bedroom-duplex-eglinton-place-eglinton-road-dublin-4/5811435
2150,1,1,Apartment,"Occu Hayfield, Churchview Road, Killiney, Co. Dublin",https://www.daft.ie/for-rent/apartment-1-bed-apartment-occu-hayfield-churchview-road-killiney-co-dublin/5899685
2400,2,2,Apartment,"Occu Hayfield, Churchview Road, Killiney, Co. Dublin",https://www.daft.ie/for-rent/apartment-2-bedroom-apartment-occu-hayfield-churchview-road-killiney-co-dublin/5900743
