price,beds,baths,prop_type,address,link,is_shared,room_type_single,room_type_double,room_type_twin,room_type_shared
2612.0,1,1.0,Apartment,"Cathedral Court, Unit 6 New Street South, Dublin 8",https://www.daft.ie/for-rent/apartment-1-bedroom-apartment-cathedral-court-unit-6-new-street-south-dublin-8/2929874,0,0,0,0,0
3072.0,2,2.0,Apartment,"Cathedral Court, Unit 6 New Street South, Dublin 8",https://www.daft.ie/for-rent/apartment-2-bedroom-apartment-cathedral-court-unit-6-new-street-south-dublin-8/2929875,0,0,0,0,0
3310.0,2,2.0,Apartment,"Cathedral Court, Unit 6 New Street South, Dublin 8",https://www.daft.ie/for-rent/apartment-2-bedroom-apartment-cathedral-court-unit-6-new-street-south-dublin-8/3248767,0,0,0,0,0
1850.0,0,0.0,Studio,"Node Dublin 7, Phibsborough, D07 V10E, Dublin 7",https://www.daft.ie/for-rent/studio-apartment-cozy-studio-bills-included-node-dublin-7-phibsborough-d07-v10e-dublin-7/5697464,0,0,0,0,0
1875.0,0,0.0,Studio,"Node Dublin 7, Phibsborough, D07 V10E, Dublin 7",https://www.daft.ie/for-rent/studio-apartment-comfy-studio-bills-included-node-dublin-7-phibsborough-d07-v10e-dublin-7/5697468,0,0,0,0,0
1925.0,0,0.0,Studio,"Node Dublin 7, Phibsborough, D07 V10E, Dublin 7",https://www.daft.ie/for-rent/studio-apartment-roomy-studio-bills-included-node-dublin-7-phibsborough-d07-v10e-dublin-7/5697466,0,0,0,0,0
2100.0,0,0.0,Studio,"Griffith Wood, Griffith Avenue, Drumcondra, Dublin 9",https://www.daft.ie/for-rent/studio-apartment-studio-griffith-wood-griffith-wood-griffith-avenue-drumcondra-dublin-9/5720457,0,0,0,0,0
2900.0,2,2.0,Apartment,"Griffith Wood, Griffith Avenue, Drumcondra, Dublin 9",https://www.daft.ie/for-rent/apartment-2-bedroom-griffith-wood-griffith-wood-griffith-avenue-drumcondra-dublin-9/3523582,0,0,0,0,0
4078.0,3,3.0,Apartment,"Griffith Wood, Griffith Avenue, Drumcondra, Dublin 9",https://www.daft.ie/for-rent/apartment-3-bedroom-griffith-wood-griffith-wood-griffith-avenue-drumcondra-dublin-9/3523581,0,0,0,0,0
2549.0,1,1.0,Apartment,"O'Callaghan Court , Erne Street Upper , Dublin 2",https://www.daft.ie/for-rent/apartment-1-bedroom-apartment-ocallaghan-court-erne-street-upper-dublin-2/2929971,0,0,0,0,0
