price,room_type,prop_type,address,link
1990,,,"Niche Living, Serviced Studio Apartments, Ardee Road, Rathmines, Dublin 6",https://www.daft.ie/for-rent/niche-living-private-studios-all-bills-incl-ardee-road-rathmines-dublin-6/5705487
1990,,,"Niche Living, Serviced Studio Apartments,  Eblana Avenue, Dun Laoghaire, Co. Dublin",https://www.daft.ie/for-rent/niche-living-eblana-avenue-dun-laoghaire-co-dublin/4549771
1400,,,"Point Campus, Dublin , Dublin 1",https://www.daft.ie/for-rent/point-campus-dublin-dublin-2/5998645
1000,,,"Mayor Square, Mayor Street Lower, IFSC, Dublin 1, Dublin 1",https://www.daft.ie/for-rent/mayor-square-mayor-street-lower-ifsc-dublin-1-ifsc-dublin-1/6035838
1204,,,"Mayor Square, Mayor Street Lower, IFSC, Dublin 1, Dublin 1",https://www.daft.ie/for-rent/mayor-square-mayor-street-lower-ifsc-dublin-1-ifsc-dublin-1/6035838
1523,,,"Node D2 - Fitzwilliam Square, 25 Pembroke Street Upper, Dublin 2",https://www.daft.ie/for-rent/node-living-25-pembroke-street-upper-dublin-2/1527608
1630,,,"Node D2 - Fitzwilliam Square, 25 Pembroke Street Upper, Dublin 2",https://www.daft.ie/for-rent/node-living-25-pembroke-street-upper-dublin-2/1527608
7212,,,"Node D2 - Fitzwilliam Square, 25 Pembroke Street Upper, Dublin 2",https://www.daft.ie/for-rent/node-living-25-pembroke-street-upper-dublin-2/1527608
1850,,,"DX Living , Donnybrook Road, Dublin 4",https://www.daft.ie/for-rent/dx-living-donnybrook-road-dublin-4/5926595
1188,,,"Stoneybatter Place, Rope Walk, 20 Stoneybatter, Dublin 7, D07 NP2K, Dublin 7",https://www.daft.ie/for-rent/stoneybatter-place-rope-walk-20-stoneybatter-dublin-7-d07-np2k-dublin-7/6139765
1260,,,"Stoneybatter Place, Rope Walk, 20 Stoneybatter, Dublin 7, D07 NP2K, Dublin 7",https://www.daft.ie/for-rent/stoneybatter-place-rope-walk-20-stoneybatter-dublin-7-d07-np2k-dublin-7/6139765
1160,,,"Montrose, Stillorgan Rd, Dublin, D04 AE48, Stillorgan, Co. Dublin",https://www.daft.ie/for-rent/montrose-stillorgan-rd-dublin-d04-ae48-stillorgan-co-dublin/6149850
640,,,"Hazelwood Accommodation, Northwood, Santry, Dublin 9",https://www.daft.ie/for-rent/hazelwood-accommodation-northwood-santry-dublin-9/3741188
1020,,,"Hazelwood Accommodation, Northwood, Santry, Dublin 9",https://www.daft.ie/for-rent/hazelwood-accommodation-northwood-santry-dublin-9/3741188
960,,,"Hazelwood Student Village, North Wood Santry, Santry, Dublin 9",https://www.daft.ie/for-rent/hazelwood-student-village-north-wood-santry-santry-dublin-9/2626696
1200,,,"Hazelwood Student Village, North Wood Santry, Santry, Dublin 9",https://www.daft.ie/for-rent/hazelwood-student-village-north-wood-santry-santry-dublin-9/2626696
850,,,"Archway Court Student Accommodation, Mountjoy St, Dublin 1",https://www.daft.ie/for-rent/archway-court-student-accommodation-mountjoy-st-dublin-1/5382570
760,single,House,"Price PER  PERSON plus bills in twin / single room , Clonskeagh, Dublin 14",https://www.daft.ie/share/-ardilea-dublin-14-per-bed-twin-clonskeagh-dublin-14/5889991
1400,single,House,"28 Upper Leeson Street., Dublin 4",https://www.daft.ie/share/28-upper-leeson-street-dublin-4/4486085
480,twin,Apartment,"TU Tallaght, Tallaght, Dublin 24",https://www.daft.ie/share/tu-tallaght-tallaght-dublin-24/6145561
1500,double,Apartment,"Waterville Row,Waterville,Dublin 15, Ballycoolin, Dublin 15",https://www.daft.ie/share/-waterville-row-waterville-dublin-15-ballycoolin-dublin-15/6048816
1200,double,House,"Albert College Park, Whitehall,  Dublin 9, Whitehall, Dublin 9",https://www.daft.ie/share/albert-college-park-whitehall-dublin-9-whitehall-dublin-9/6138538
1056,single,Apartment,"Merrion Court Apartments, Sandymount, Dublin 4",https://www.daft.ie/share/merrion-court-apartments-sandymount-dublin-4/6114518
